id,full_name,url,stars,forks,commit,openIssue,closedIssue
147851824,aws-samples/eks-workshop,https://api.github.com/repos/aws-samples/eks-workshop,657,1007,951,107,261
104001805,HealthRex/CDSS,https://api.github.com/repos/HealthRex/CDSS,64,27,2152,84,256
136181543,qubvel/segmentation_models,https://api.github.com/repos/qubvel/segmentation_models,3670,866,204,204,255
65924871,probml/pyprobml,https://api.github.com/repos/probml/pyprobml,4247,986,2462,5,254
219892487,aws/aws-neuron-sdk,https://api.github.com/repos/aws/aws-neuron-sdk,225,75,702,20,252
80655163,ellisdg/3DUnetCNN,https://api.github.com/repos/ellisdg/3DUnetCNN,1455,613,372,6,252
96467284,kipoi/kipoi,https://api.github.com/repos/kipoi/kipoi,201,38,1088,53,248
65399782,CSTR-Edinburgh/merlin,https://api.github.com/repos/CSTR-Edinburgh/merlin,1205,424,390,199,237
37615400,kristinbranson/APT,https://api.github.com/repos/kristinbranson/APT,57,10,3443,135,233
95608664,ceccocats/tkDNN,https://api.github.com/repos/ceccocats/tkDNN,624,188,530,27,227
252701518,neurodata/ProgLearn,https://api.github.com/repos/neurodata/ProgLearn,31,41,1398,43,222
162340939,onnx/sklearn-onnx,https://api.github.com/repos/onnx/sklearn-onnx,302,67,478,54,222
354743794,aimakerspace/PeekingDuck,https://api.github.com/repos/aimakerspace/PeekingDuck,80,16,1818,10,221
161556784,tensorflow/federated,https://api.github.com/repos/tensorflow/federated,1750,425,3707,58,220
62458409,keras-rl/keras-rl,https://api.github.com/repos/keras-rl/keras-rl,5200,1329,308,12,219
151619717,google-research/google-research,https://api.github.com/repos/google-research/google-research,21768,5128,2879,477,216
65155092,ClimbsRocks/auto_ml,https://api.github.com/repos/ClimbsRocks/auto_ml,1562,305,1149,179,216
15226547,OpenDrift/opendrift,https://api.github.com/repos/OpenDrift/opendrift,135,79,3461,51,213
69576253,GoogleCloudPlatform/cloudml-samples,https://api.github.com/repos/GoogleCloudPlatform/cloudml-samples,1453,866,1198,0,207
190658443,keras-team/keras-tuner,https://api.github.com/repos/keras-team/keras-tuner,2462,318,869,160,203
96946693,tensorflow/tpu,https://api.github.com/repos/tensorflow/tpu,4633,1659,1212,238,201
153859755,CyberZHG/keras-bert,https://api.github.com/repos/CyberZHG/keras-bert,2281,504,142,0,201
91284550,studioml/studio,https://api.github.com/repos/studioml/studio,374,52,2409,57,195
126039059,Calamari-OCR/calamari,https://api.github.com/repos/Calamari-OCR/calamari,895,188,418,40,192
265612440,coqui-ai/TTS,https://api.github.com/repos/coqui-ai/TTS,3850,348,3775,30,191
82204883,uw-cmg/MAST-ML,https://api.github.com/repos/uw-cmg/MAST-ML,64,41,3005,22,188
15688257,RoboJackets/roboracing-software,https://api.github.com/repos/RoboJackets/roboracing-software,68,55,1344,29,182
208313010,NVIDIA-Merlin/HugeCTR,https://api.github.com/repos/NVIDIA-Merlin/HugeCTR,563,131,1881,58,179
133702954,vanvalenlab/deepcell-tf,https://api.github.com/repos/vanvalenlab/deepcell-tf,223,53,353,12,179
69257805,neuropoly/axondeepseg,https://api.github.com/repos/neuropoly/axondeepseg,96,30,706,172,178
162340677,onnx/keras-onnx,https://api.github.com/repos/onnx/keras-onnx,341,111,423,102,177
93438176,ZoranPandovski/al-go-rithms,https://api.github.com/repos/ZoranPandovski/al-go-rithms,1144,1833,6868,13,175
85625701,divamgupta/image-segmentation-keras,https://api.github.com/repos/divamgupta/image-segmentation-keras,2367,1003,235,137,174
168622088,IDAES/idaes-pse,https://api.github.com/repos/IDAES/idaes-pse,87,127,8642,78,172
112754789,sassoftware/python-dlpy,https://api.github.com/repos/sassoftware/python-dlpy,198,115,1184,20,166
221723816,WZMIAOMIAO/deep-learning-for-image-processing,https://api.github.com/repos/WZMIAOMIAO/deep-learning-for-image-processing,6391,3134,1011,3,166
227367327,PINTO0309/PINTO_model_zoo,https://api.github.com/repos/PINTO0309/PINTO_model_zoo,1428,239,1557,5,165
263687600,openvinotoolkit/nncf,https://api.github.com/repos/openvinotoolkit/nncf,395,99,808,20,165
114153539,albermax/innvestigate,https://api.github.com/repos/albermax/innvestigate,944,209,943,65,163
193652854,bytedance/byteps,https://api.github.com/repos/bytedance/byteps,3056,437,431,94,158
52094077,maxpumperla/hyperas,https://api.github.com/repos/maxpumperla/hyperas,2113,307,211,92,158
394089041,spiceai/spiceai,https://api.github.com/repos/spiceai/spiceai,703,28,351,40,153
130270774,adoptium/aqa-test-tools,https://api.github.com/repos/adoptium/aqa-test-tools,19,52,584,66,152
320315156,Jayshah6699/datascience-mashup,https://api.github.com/repos/Jayshah6699/datascience-mashup,33,50,1045,8,151
184316081,CosmiQ/solaris,https://api.github.com/repos/CosmiQ/solaris,342,96,922,81,151
155619942,tensorflow/model-optimization,https://api.github.com/repos/tensorflow/model-optimization,1193,268,717,123,149
192155460,dragen1860/Deep-Learning-with-TensorFlow-book,https://api.github.com/repos/dragen1860/Deep-Learning-with-TensorFlow-book,12189,3959,151,73,148
82426760,jhu-lcsr/costar_plan,https://api.github.com/repos/jhu-lcsr/costar_plan,61,22,6969,31,144
79821807,yandexdataschool/Practical_RL,https://api.github.com/repos/yandexdataschool/Practical_RL,4797,1463,1316,30,143
147386085,udacity/deep-learning-v2-pytorch,https://api.github.com/repos/udacity/deep-learning-v2-pytorch,4494,4975,377,2,142
358017583,NVIDIA-Merlin/Transformers4Rec,https://api.github.com/repos/NVIDIA-Merlin/Transformers4Rec,439,37,793,48,140
253846879,determined-ai/determined,https://api.github.com/repos/determined-ai/determined,1620,201,3215,23,138
162656117,canonical/bundle-kubeflow,https://api.github.com/repos/canonical/bundle-kubeflow,39,20,645,9,138
98559363,drivendataorg/concept-to-clinic,https://api.github.com/repos/drivendataorg/concept-to-clinic,365,151,392,25,138
131646318,microsoft/EconML,https://api.github.com/repos/microsoft/EconML,1910,410,335,185,138
196534475,williamfzc/stagesepx,https://api.github.com/repos/williamfzc/stagesepx,351,101,582,21,137
85799683,christophM/interpretable-ml-book,https://api.github.com/repos/christophM/interpretable-ml-book,4003,848,1824,11,136
108329371,fastmachinelearning/hls4ml,https://api.github.com/repos/fastmachinelearning/hls4ml,603,222,1164,110,136
244029618,data-science-on-aws/oreilly_book,https://api.github.com/repos/data-science-on-aws/oreilly_book,2468,786,3075,75,135
210452618,Adlik/Adlik,https://api.github.com/repos/Adlik/Adlik,491,49,359,25,135
70790978,antoinecarme/pyaf,https://api.github.com/repos/antoinecarme/pyaf,353,57,1542,11,134
219559345,JdeRobot/BehaviorMetrics,https://api.github.com/repos/JdeRobot/BehaviorMetrics,32,21,738,32,134
